Titolo;Coordinate;Descrizione
Monte Bromo;-7.942307853643189, 112.95290828562668;"Ti trovi sul bordo del cratere del Monte Bromo, un vulcano attivo situato allarea: A pagamento. Costi: Labisso fumante del cratere attivo; sentirai il boato profondo della terra e l Pura Luhur Poten che sorge solitario ai piedi del vulcano, dove i Tenggeresi celebrano ancora oggi i loro riti. Alla tua sinistra (Direzione Sud): Svettano le cime gemelle del Monte Batok, un vulcano spento perfettamente conico e ricoperto di vegetazione che contrasta con la nuditaorizzonte, troneggia il maestoso Monte Semeru, il vulcano piuarea di sosta delle Jeep. Alle tue spalle vedrai i fedeli locali e i cavalli che trasportano i turisti lungo il pendio sabbioso. Consiglio Audioguida: Il momento iconico ealba vista dal punto panoramico di Penanjakan prima di scendere nel cratere. Porta vestiti pesanti perché la temperatura puo scendere vicino allo zero prima del sorgere del sole. Se soffri l'odore dello zolfo, usa una mascherina o una sciarpa umida."
Tempio di Tanah Lot;-8.62121563751631, 115.08680547491194;Ti trovi sulla costa rocciosa di fronte al maestoso Tempio di Tanah Lot, uno dei templi marini più sacri e iconici di Bali, situato a Tabanan. Accesso allingresso per i turisti stranieri costa circa 75.000 IDR per gli adulti e 40.000 IDR per i bambini. Il parcheggio per le auto costa circa 5.000 IDR. Davanti a te (Direzione Sud-Ovest): Vedi il tempio principale arroccato su una spettacolare formazione rocciosa che si protende nellacqua dolce considerata sacra e custodita dai sacerdoti. Se la marea è alta, lo scoglio viene completamente circondato dalle onde, trasformando il tempio in unacqua del mare scorre incessantemente. Alla tua sinistra (Direzione Sud-Est) La costa si sviluppa con ampi giardini terrazzati e punti panoramici rialzati dotati di caffetterie e piccoli ristoranti da cui i visitatori attendono il tramonto sorseggiando una bibita o un cocco fresco. Dietro di te (Direzione Nord-Est)Si trova il vasto mercato daperto che attraversi per entrare e uscire dal sito. È un labirinto di bancarelle che vendono artigianato balinese, sarong, abbigliamento estivo, souvenir tradizionali e street food locale. Consiglio Audioguida: Pianifica la visita nel tardo pomeriggio per ammirare il celebre tramonto, quando la silhouette del tempio si staglia contro il cielo infuocato. Ricorda che larea circostante offre scorci fotografici straordinari. Controlla sempre gli orari delle maree prima di avvicinarti alla base della roccia.
Suluban Beach;-8.815689119134339, 115.08854727538882;"Ti trovi allarea:Gratuito (si paga solo il parcheggio). Il parcheggio per lo scooter costa circa 5.000 IDR. Limponente apertura della caverna naturale, vedi le onde dellalta marea, larea del parcheggio superiore. La risalita può essere faticosa sotto il sole, ma è punteggiata da piccoli warung dove fermarsi a bere un cocco fresco. Questa spiaggia non è la classica distesa di sabbia per nuotare in tranquillità; è un paradiso per i surfisti e gli amanti dei paesaggi drammatici. Controlla accuratamente le tabelle delle maree prima di scendere: il momento migliore per esplorare la sabbia all'interno della grotta è durante la bassa marea, mentre il tardo pomeriggio offre tramonti indimenticabili dalle scogliere sovrastanti."
Tempio Saraswati;-8.506071516552025, 115.26107210647486;Ti trovi di fronte al maestoso Tempio Saraswati, conosciuto anche come il Palazzo dellarea: A pagamento. Limponente padiglione principale del tempio, finemente scolpito con pietra vulcanica grigia e arricchito da portali dorati. Il tempio è dedicato a Dewi Saraswati, la dea induista della conoscenza, della letteratura e delle arti. Per raggiungerlo, cammini lungo una passerella centrale che attraversa un magnifico e vasto laghetto interamente ricoperto di fiori di loto rosa e foglie verdi galleggianti. Alla tua destra (Direzione Est) Il laghetto è fiancheggiato da vialetti pedonali e giardini tropicali ben curati. Lungo questo lato si trova il celebre Lotus Café, un ristorante storico dove i visitatori possono sedersi allaltro lato dello stagno dei loto e le mura di cinta del complesso. Dietro la vegetazione si trovano piccoli negozi di artigianato locale e gallerie darea sacra con le stradine interne di Ubud.Dietro di te (Direzione Sud): Ti lasci alle spalle larteria stradale principale della cittadina. Proprio a pochi passi alle tue spalle si trovano il Palazzo di Ubud (Puri Saren Agung) e il vivace mercato dellarea interna dell'altare principale è accessibile solo ai fedeli per le preghiere. Se rimani la sera, lo sfondo del tempio illuminato rende lo spettacolo di danza tradizionale eccezionalmente suggestivo. 
Campuhan Ridge Walk;-8.503530208145817, 115.25474747409824;"Ti trovi allarea:Gratuito.Lacqua e, guardando oltre la vallata, puoi scorgere i complessi residenziali, i resort e le ville di Ubud perfettamente integrati nella foresta tropicale. Alla tua sinistra (Direzione Ovest): Il panorama si affaccia sulla vallata del fiume Wos. Lungo questo lato la vegetazione è densa e selvaggia, offrendo uno spaccato perfetto della natura incontaminata dellombra; camminare nelle ore centrali della giornata può essere estremamente faticoso. Porta con te una bottiglia d'acqua e la macchina fotografica per catturare la nebbia mattutina che si solleva dalle vallate. "
Risaia terrazzata di Tegallalang;-8.432101531206984, 115.2790828675534;Ti trovi su uno dei punti panoramici rialzati che si affacciano sulla spettacolare Risaia terrazzata di Tegallalang, uno dei paesaggi più iconici e fotografati di Bali, situato a circa 20 minuti a nord di Ubud. Accesso allingresso costa circa 25.000 IDR per gli adulti. Per fare un giro sulle famose altalene panoramiche o sulla zipline nella giungla sono richiesti supplementi che variano tra 100.000 e 250.000 IDR. Il parcheggio per lo scooter costa circa 5.000 IDR. Davanti a te (Direzione Est) Si apre una profonda e verdissima vallata interamente modellata a terrazzamenti che seguono le curve naturali del terreno. Ammiri lo storico sistema di irrigazione tradizionale balinese, il *Subak*, con laltro. Lungo i sentieri di terra tra le piantagioni vedrai i contadini locali al lavoro e i turisti che scendono ed esplorano i vari terrazzi artificiali. Alla tua destra (Direzione Sud)  La vallata si sviluppa con altri ripidi pendii coltivati, intervallati da alte palme da cocco e banani. Lungo la cresta della collina si concentrano numerosi caffè alluccello, molto popolari sui social network. Dietro di te (Direzione Ovest) Ti lasci alle spalle la trafficata via principale, Jl. Raya Tegallalang, che corre lungo la cima della collina. Questa strada è un susseguirsi continuo di gallerie datmosfera magica e la temperatura è ancora piacevole per camminare. Indossa scarpe comode con una buona aderenza, poiché i sentieri di terra possono essere molto fangosi e scivolosi a causa dell'irrigazione. 
Leke Leke Waterfall;-8.366889762494495, 115.1980947333387;Ti trovi alla base della spettacolare Leke Leke Waterfall, una gemma nascosta nel cuore della giungla di Tabanan, a Bali. **Accesso allingresso costa circa 50.000 IDR per i visitatori stranieri. Il parcheggio per lo scooter è generalmente incluso o richiede una piccola mancia di circa 2.000 IDR. Davanti a te (Direzione Nord): Ammiri la cascata, un velo dinterno di una stretta fenditura rocciosa. La parete è interamente ricoperta di muschio e piante tropicali lussureggianti, creando unacqua è limpida ma piuttosto fresca, perfetta per rinfrescarsi dopo la camminata. Alla tua destra e alla tua sinistra (Direzione Est e Ovest) Sei circondato dalle alte pareti del canyon roccioso che racchiudono la cascata. Lungo lo spiazzo davanti allingresso principale: è una piacevole passeggiata che attraversa ponti di bambù sospesi, piantagioni locali di frutta e un rigoglioso giardino tropicale ben curato. Consiglio Audioguida Rispetto ad altre cascate di Bali, Leke Leke è più protetta dal vento grazie alla sua posizione incassata nel canyon, il che rende più facile scattare foto senza che l'obiettivo si bagni continuamente di vapore. Il sentiero per scendere è attrezzato con corrimano, ma può diventare scivoloso se ha piovuto di recente, quindi indossa scarpe con una buona aderenza. 
Tukad Cepung Waterfall;-8.4416393174259, 115.38657418900308;Ti trovi allora di auto da Ubud. Accesso allingresso costa circa 15.000 - 20.000 IDR per i turisti stranieri. Il parcheggio per gli scooter costa circa 2.000 IDR, mentre le consumazioni nei warung lungo il sentiero sono molto economiche. Davanti a te (Direzione Nord):** Ammiri la cascata che precipita da uninterno di una grotta circolare aperta sulla sommità. Se visiti il sito nelle ore centrali della giornata, vedrai i raggi del sole penetrare dallacqua e le pareti rocciose circostanti. Alla tua destra e alla tua sinistra (Direzione Est e Ovest) Sei completamente racchiuso dalle maestose pareti di roccia arenaria della gola, modellate nei secoli dallo scorrere dellacqua limpida e ciottoli, e lo spazio interno crea unacqua bassa del torrente che scorre sul fondo della gola. **Consiglio Audioguida:** Il momento perfetto per catturare i famosi raggi di luce va dalle 10:00 alle 12:00, a seconda della stagione. Per entrare nella grotta dovrai camminare con lacqua. 
Tempio madre di Besakih;-8.373563021571282, 115.45239273973345;Ti trovi ai piedi dellarea:** A pagamento.  Il biglietto daccompagnamento di una guida locale. Davanti a te (Direzione Nord-Est) Si eleva la monumentale scalinata di pietra che conduce al *Pura Penataran Agung*, il santuario principale del complesso. Davanti ai tuoi occhi si staglia il grandioso portale spaccato (*Candi Bentar*), oltre il quale si intravedono le caratteristiche torri santuario dal tetto di paglia scura a più livelli (*meru*), disposte su terrazze che sembrano arrampicarsi verso il cielo. Nelle giornate limpide, la gigantesca e sacra sagoma del Monte Agung troneggia proprio alle spalle del tempio, creando uno scenario mistico di rara potenza. Alla tua destra (Direzione Sud-Est):il complesso si estende con altri santuari minori e padiglioni dedicati alle diverse divinità e clan balinesi. Camminando lungo i sentieri laterali potrai notare il viavai costante di fedeli vestiti con abiti tradizionali bianchi, che trasportano elegantemente sulla testa ricche ceste di offerte piene di fiori, frutta e incenso. **Alla tua sinistra (Direzione Nord-Ovest):** La vista spazia sui complessi templari adiacenti che compongono la struttura monumentale (in totale sono ben 23 templi separati ma collegati). Più in basso si sviluppano i centri di accoglienza per i pellegrini e le aree destinate alle grandi cerimonie religiose che si tengono ciclicamente durante laccesso pedonale fiancheggiata da negozietti di artigianato, piccoli ristoranti tradizionali (*warung*) e venditori di souvenir. Volgendo lo sguardo allaccesso allintera architettura e assorbire l'incredibile energia del luogo. Il momento migliore per visitarlo è la mattina presto, prima che arrivino i bus turistici e che le nuvole avvolgano la cima del vulcano.
Tirta Gangga;-8.411233479503908, 115.58718123740822;Ti trovi nel mezzo dello splendido giardino acquatico di Tirta Gangga, un antico palazzo reale situato nella reggenza di Karangasem, nella parte orientale di Bali. **Accesso allingresso per i visitatori stranieri costa circa 50.000 IDR. Se desideri fare il bagno nelle piscine pubbliche dedicate allingresso puoi acquistare del cibo per i pesci per circa 5.000 IDR a sacchetto. Davanti a te (Direzione Nord):** Ammiri la grande piscina principale, punteggiata da eleganti statue in pietra che raffigurano divinità e figure del folklore balinese. Sulla superficie dellacqua, circondati da centinaia di enormi carpe koi coloratissime che nuotano in attesa di cibo. Poco più avanti svetta la maestosa fontana a undici livelli, che ricorda la forma di un loto e rappresenta il fulcro architettonico del palazzo. **Alla tua destra (Direzione Est):** Si estendono giardini terrazzati ben curati, prati verdi e ponticelli in pietra decorati in stile tradizionale che collegano le varie sezioni del parco. Sullo sfondo si notano le rinfrescanti piscine balneabili, dove lacqua minori e canali decorativi, incorniciati da una fitta vegetazione tropicale, grandi alberi di banyan e imponenti mura in pietra scolpita. Dietro di te (Direzione Sud):** Ti lasci alle spalle lideale è arrivare la mattina presto, prima delle 9:00. 
Penataran Agung Lempuyang Temple;-8.3919094816663, 115.63154118526526;"Ti trovi sul piazzale inferiore del **Pura Penataran Agung Lempuyang**, uno dei templi più antichi e venerati di Bali, situato sul monte Lempuyang nella reggenza di Karangasem. Accesso all'area: A pagamento. L'ingresso per i turisti stranieri costa circa 55.000 IDR (incluso il noleggio del sarong obbligatorio). Per raggiungere il tempio dal parcheggio a valle è necessario utilizzare la navetta ufficiale al costo di circa 45.000 IDR a persona (andata e ritorno). **Davanti a te (Direzione Ovest):** Si erge la celebre *Porta del Paradiso* (*Candi Bentar*), un maestoso portale spaccato in pietra bianca che incornicia perfettamente il cielo. Nelle giornate limpide, la gigantesca sagoma del vulcano Monte Agung si staglia esattamente al centro del portale, creando uno degli scenari più fotografati al mondo. **Alla tua destra (Direzione Nord):** Potrai ammirare le tre imponenti scalinate cerimoniali in pietra, decorate con lunghi corpi di serpenti *Naga* finemente scolpiti, che conducono ai cortili superiori del santuario. La scalinata centrale è considerata sacra ed è riservata esclusivamente ai sacerdoti e ai fedeli che portano le offerte. **Alla tua sinistra (Direzione Sud):** Si trova l'area coperta dove i visitatori siedono all'ombra in attesa del proprio turno numerato per scattare la celebre fotografia sotto il portale. Accanto a te vedrai i ragazzi locali dello staff che utilizzano un piccolo specchio sotto la lente dello smartphone per creare il famoso effetto ""riflesso d'acqua"" sulla foto. **Dietro di te (Direzione Est):** La vista si apre sulla vallata sottostante e sulle foreste che ricoprono i fianchi del monte Lempuyang. Voltandoti indietro, nei giorni di cielo sereno, lo sguardo può spingersi oltre la costa fino al profilo del mare e delle isole vicine. **Consiglio Audioguida:** Questo è un luogo di culto estremamente sacro per gli induisti balinesi. È fondamentale indossare il sarong, mantenere le spalle coperte e non baciarsi o assumere pose irrispettose per le foto. Per evitare attese di diverse ore per lo scatto alla porta, l'ideale è arrivare all'alba (intorno alle 5:30-6:00 del mattino), quando l'aria è fresca e la luce del mattino illumina il vulcano prima che si formino le nuvole. "
